ID;Nom;Prenoms;VIAF;sex or gender;spla_pro;Ile_en_Ile;date of birth;place of birth;country_birth;date of death;place of death;country_death;country of citizenship;occupation;languages spoken, written or signed;WorldCat Identities ID;ORCID iD;Wiki_ID;ISNI;VIAF
;Renaud;Alix;;male;;renaud;30/08/1945;Port-au-Prince;Haiti;;;;Haiti;"journalist;poet;writer";French;lccn-n85225154;;Q2837289;0000 0001 0899 0297;49327117
;Rey Charlier;Jacques;;male;;charlier_jacques;04/05/1945;;;;;;;writer;;;;Q79392504;;
;Rigaud Apollon;Marlène;;female;;apollon;01/01/1945;Cap-Haïtien;Haiti;;;;Haiti;"poet;writer";French;lccn-n96106770;;Q12894134;0000 0000 4251 8351;4204233
;Roumain;Jacques;;male;;roumain;04/06/1907;Port-au-Prince;Haiti;18/08/1944;Port-au-Prince;Haiti;"Haiti;Haiti";"writer;poet;journalist;politician";French;lccn-n50049967;;Q1356852;0000 0001 2131 8446;49230970
;Roumer;Émile;;male;;roumer;05/02/1903;Jérémie;Haiti;01/01/1988;Frankfurt am Main;Germany;Haiti;poet;;lccn-nr91011251;;Q3045906;0000 0000 6303 6802;264763430
;Roy Fombrun;Odette;;female;;fombrun;13/06/1917;Port-au-Prince;Haiti;;;;Haiti;"children's writer;writer";French;lccn-n83133784;;Q18528616;0000 0001 1591 126X;7411030
;Saint-Amand;Édris;;male;;saint-amand;26/03/1918;Gonaïves;Haiti;01/01/2004;Port-au-Prince;Haiti;Haiti;"writer;trade unionist;diplomat";French;lccn-n85191802;;Q3048259;0000 0001 1669 851X;71908885
;Saint-Éloi;Rodney;;male;;saint-eloi;27/08/1963;Cavaellon;Haiti;;;;Haiti;"writer;poet;essayist";French;lccn-nr95046773;;Q3438235;0000 0001 2101 5701;56783467
;Scott-Lemoine;Jacqueline;;female;;scott;28/10/1923;Port-au-Prince;Haiti;09/07/2011;Dakar;Senegal;"Haiti;Senegal";"actor;writer";French;lccn-no2005051774;;Q26252340;0000 0000 4303 2759;19931184
;Sixto;Maurice;;male;;sixto;23/05/1919;Gonaïves;Haiti;12/05/1984;Philadelphia;United States of America;Haiti;"pedagogue;writer;Lodyans";;lccn-no2008160538;;Q3301423;0000 0003 7442 9275;38119665
;Suprice;Lenous Guillaume;;male;;suprice;;Fond des Blancs;Haiti;;;;"Haiti;Canada";"poet;writer";Haitian Creole;;;Q55217215;;
;Suréna;Elsie;;female;;surena;01/01/1956;Port-au-Prince;Haiti;;;;Haiti;"photographer;poet";;lccn-no2010115799;;Q12890326;0000 0001 1497 7646;122176630
;Tavernier;Janine;;female;;tavernier;23/03/1935;Port-au-Prince;Haiti;27/02/2019;Tampa;United States of America;Haiti;"novelist;poet;university teacher";French;lccn-no2002116563;;Q3162015;0000 0000 7363 2739;71514411
;Théard;Marie-Alice;;female;;theard;03/08/1948;Port-au-Prince;Haiti;;;;Haiti;"novelist;poet;writer";French;lccn-n99836027;;Q12894088;0000 0000 3749 9854;14109213
;Thoby-Marcelin;Philippe;;male;;thoby-marcelin;11/12/1904;Port-au-Prince;Haiti;13/08/1975;Syracuse;United States of America;Haiti;"journalist;poet;politician";French;lccn-n85147814;;Q3380772;0000 0000 7858 0851;52485878
;Trouillot;Évelyne;;female;;trouillot_evelyne;02/01/1954;Port-au-Prince;Haiti;;;;Haiti;"playwright;writer;children's writer;poet;essayist";French;lccn-no97023406;;Q12890535;0000 0001 1461 5119;59220009
;Trouillot;Lyonel;;male;;trouillot_lyonel;31/12/1956;Port-au-Prince;Haiti;;;;Haiti;"journalist;poet;novelist;writer";French;lccn-n87863234;;Q637689;0000 0003 8321 3791;267680342
;Victor;Gary;;male;;victor_gary;09/07/1958;Port-au-Prince;Haiti;;;;Haiti;"journalist;playwright;screenwriter;politician";French;lccn-n84098901;;Q3098632;0000 0001 0866 2517;6109517
;Vieux Chauvet;Marie;;female;;chauvet;16/09/1916;Port-au-Prince;Haiti;19/06/1973;New York City;United States of America;Haiti;"playwright;writer";French;lccn-n86048248;;Q3292853;"0000 0003 6848 4104; 0000 0000 7994 9665";49367558
;Voltaire Marcelin;Michèle;;female;;voltaire-marcelin;01/01/1955;Port-au-Prince;Haiti;;;;Haiti;writer;;lccn-no2010068430;;Q18461233;0000 0001 1454 3637;106569746
;Charles;Jean Watson;;male;;;;;;;;;;;;;;;;113848596
;Charles;Wébert;;male;;;;;;;;;;;;;;;;1,48E+21
