ID;Nom;Prenoms;sex or gender;spla_pro;Ile_en_Ile;date of birth;place of birth;country_birth;date of death;place of death;country_death;country of citizenship;occupation;languages;ORCID iD;Wiki_ID;ISNI;VIAF
AU173;Papillon;Iléus;male;;papillon_ileus;08/06/1984;Haiti;Haiti;;;;Haiti;"writer;poet;journalist";;;Q55217189;;308246796
AU174;Papillon;Margaret;female;;papillon_margaret;14/11/1958;Port-au-Prince;Haiti;;;;Haiti;writer;French;;Q12894055;0000 0000 5160 1149;46871390
AU175;Paret;Roland;male;;paret;01/01/1943;Cap-Haïtien;Haiti;;;;Haiti;film director;French;;Q18607375;0000 0000 7418 7999;77542865
AU176;Pasquet;Jean-Marc;male;;pasquet_jean-marc;01/01/1959;;;;;;Switzerland;writer;French;;Q12891869;0000 0000 5622 2383;17339130
AU177;Pasquet;Fabienne;female;;pasquet_fabienne;22/12/1954;Geneva;Switzerland;;;;France;"writer;actor;translator";French;;Q12890543;0000 0000 3197 2479;69067500
AU178;Paul;Cauvin;male;;paul;03/03/1942;Port-de-Paix;Haiti;;;;Haiti;writer;Haitian Creole;;Q12888685;0000 0000 7364 2080;12482254
AU179;Péan;Stanley;male;;pean;31/03/1966;Port-au-Prince;Haiti;;;;"Haiti;Canada";"writer;children's writer";French;;Q3496855;0000 0000 7361 3175;12423959
AU180;Phelps;Anthony;male;;phelps;25/08/1928;Port-au-Prince;Haiti;;;;Haiti;"writer;playwright;poet";French;;Q2852916;0000 0001 1047 1891;27080479
AU181;Philoctète;René;male;;philoctete;16/11/1932;Jérémie;Haiti;17/07/1995;Port-au-Prince;Haiti;Haiti;"journalist;poet;playwright";French;;Q3045950;0000 0001 1470 7590;36967735
AU182;Pierre;Claude C.;male;;pierre_claude;28/02/1941;Corail, Grand'Anse;Haiti;24/06/2017;Canada;Canada;Haiti;poet;;;Q2977119;0000 0000 7363 1189;66592624
AU183;Pierre-Dahomey;Néhémy;male;;pierre-dahomey;;;;;;;;;;;Q55217188;;
AU184;Poujol Oriol;Paulette;female;;poujol-oriol;12/05/1926;Port-au-Prince;Haiti;11/03/2011;;;Haiti;actor;;;Q12895266;0000 0000 3286 5675;21358336
AU185;Prophète;Emmelie;female;;prophete_emmelie;15/06/1971;Port-au-Prince;Haiti;;;;Haiti;"journalist;poet;writer";French;;Q3053007;0000 0001 2131 5552;47904412
AU186;Régis;Guy;male;;regis;01/01/1974;Port-au-Prince;Haiti;;;;Haiti;"writer;director;playwright";French;;Q2396474;0000 0001 2207 5263;170304147
AU187;Renaud;Alix;male;;renaud;30/08/1945;Port-au-Prince;Haiti;;;;Haiti;"journalist;poet;writer";French;;Q2837289;0000 0001 0899 0297;49327117
AU188;Rey Charlier;Jacques;male;;charlier_jacques;04/05/1945;;;;;;;writer;;;Q79392504;;
AU189;Rigaud Apollon;Marlène;female;marlene-rigaud-apollon_32103;apollon;01/01/1945;Cap-Haïtien;Haiti;;;;Haiti;"poet;writer";French;;Q12894134;0000 0000 4251 8351;4204233
AU190;Roumain;Jacques;male;;roumain;04/06/1907;Port-au-Prince;Haiti;18/08/1944;Port-au-Prince;Haiti;"Haiti;Haiti";"writer;poet;journalist;politician";French;;Q1356852;0000 0001 2131 8446;49230970
AU191;Roumer;Émile;male;;roumer;05/02/1903;Jérémie;Haiti;01/01/1988;Frankfurt am Main;Germany;Haiti;poet;;;Q3045906;0000 0000 6303 6802;264763430
AU192;Roy Fombrun;Odette;female;;fombrun;13/06/1917;Port-au-Prince;Haiti;;;;Haiti;"children's writer;writer";French;;Q18528616;0000 0001 1591 126X;7411030
AU193;Saint-Amand;Édris;male;;saint-amand;26/03/1918;Gonaïves;Haiti;01/01/2004;Port-au-Prince;Haiti;Haiti;"writer;trade unionist;diplomat";French;;Q3048259;0000 0001 1669 851X;71908885
AU194;Saint-Éloi;Rodney;male;;saint-eloi;27/08/1963;Cavaellon;Haiti;;;;Haiti;"writer;poet;essayist";French;;Q3438235;0000 0001 2101 5701;56783467
AU195;Saint-Louis Mentor;Ulysse ;male;ulysse-saint-louis-mentor_52497;;;;;;;;;;;;;;
AU196;Sandino ;Alexandre Fednel;male;;;1978;;;;;;;;;;;;46304109
AU197;Scott-Lemoine;Jacqueline;female;;scott;28/10/1923;Port-au-Prince;Haiti;09/07/2011;Dakar;Senegal;"Haiti;Senegal";"actor;writer";French;;Q26252340;0000 0000 4303 2759;19931184
AU198;Sixto;Maurice;male;;sixto;23/05/1919;Gonaïves;Haiti;12/05/1984;Philadelphia;United States of America;Haiti;"pedagogue;writer;Lodyans";;;Q3301423;0000 0003 7442 9275;38119665
AU199;Suprice;Lenous Guillaume;male;;suprice;;Fond des Blancs;Haiti;;;;"Haiti;Canada";"poet;writer";Haitian Creole;;Q55217215;;
AU200;Suréna;Elsie;female;;surena;01/01/1956;Port-au-Prince;Haiti;;;;Haiti;"photographer;poet";;;Q12890326;0000 0001 1497 7646;122176630
AU201;Tavernier;Janine;female;;tavernier;23/03/1935;Port-au-Prince;Haiti;27/02/2019;Tampa;United States of America;Haiti;"novelist;poet;university teacher";French;;Q3162015;0000 0000 7363 2739;71514411
AU202;Théard;Marie-Alice;female;;theard;03/08/1948;Port-au-Prince;Haiti;;;;Haiti;"novelist;poet;writer";French;;Q12894088;0000 0000 3749 9854;14109213
AU203;Thoby-Marcelin;Philippe;male;;thoby-marcelin;11/12/1904;Port-au-Prince;Haiti;13/08/1975;Syracuse;United States of America;Haiti;"journalist;poet;politician";French;;Q3380772;0000 0000 7858 0851;52485878
AU204;Trouillot;Évelyne;female;;trouillot_evelyne;02/01/1954;Port-au-Prince;Haiti;;;;Haiti;"playwright;writer;children's writer;poet;essayist";French;;Q12890535;0000 0001 1461 5119;59220009
AU205;Trouillot;Lyonel;male;;trouillot_lyonel;31/12/1956;Port-au-Prince;Haiti;;;;Haiti;"journalist;poet;novelist;writer";French;;Q637689;0000 0003 8321 3791;267680342
AU206;Victor;Gary;male;;victor_gary;09/07/1958;Port-au-Prince;Haiti;;;;Haiti;"journalist;playwright;screenwriter;politician";French;;Q3098632;0000 0001 0866 2517;6109517
AU207;Vieux Chauvet;Marie;female;;chauvet;16/09/1916;Port-au-Prince;Haiti;19/06/1973;New York City;United States of America;Haiti;"playwright;writer";French;;Q3292853;"0000 0003 6848 4104; 0000 0000 7994 9665";49367558
AU208;Voltaire Marcelin;Michèle;female;;voltaire-marcelin;01/01/1955;Port-au-Prince;Haiti;;;;Haiti;writer;;;Q18461233;0000 0001 1454 3637;106569746
