ID_dataset;Complete Name;Nom;Prenoms;sex or gender;spla.pro;Ile_en_Ile;date of birth;YEAR birth;place of birth;country_birth;date of death;year death;place of death;country_death;country of citizenship;occupation;languages;ORCID iD;Wiki_ID;ISNI;VIAF;Date_birth_in_bio;DELETE;Date_in_Viaf;Website;wikipage_en;wikipage_fr;wikipage_ht;len_wiki_en;len_wiki_fr;len_wiki_ht;in anais list;;;etat_civil
AU;Davertige Villard Denis;Davertige;Villard Denis;male;davertige.14086;davertige;02/12/1940;1940;Port-au-Prince;Haiti;25/07/2004;2004;Montreal;Canada;Haiti;"poet;painter";French;;Q7930927;0000 0000 7981 4795;3558664;;0;;#N/A;https://en.wikipedia.org/wiki/Villard_Denis;0;https://ht.wikipedia.org/wiki/Davertige;1898;#N/A;823;1;;;Dorvil Richardson
AU;Depestre René;Depestre;René;male;rene-depestre.5711;depestre;29/08/1926;1926;Jacmel;Haiti;;;;;Haiti;"poet;writer;essayist";French;;Q59581;0000 0001 2283 0978;94345085;;0;;#N/A;https://en.wikipedia.org/wiki/Ren%C3%A9_Depestre;https://fr.wikipedia.org/wiki/Ren%C3%A9_Depestre;https://ht.wikipedia.org/wiki/Ren%C3%A9_Depestre;15223;18853;3657;1;;;Dovilas Anderson
AU;Desinor Nirvah;Desinor;Nirvah;female;nirvah-desinor.39854;;;;;;;;;;Haiti;writer;;;;;;0;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Duckens Charitable
AU;Désir Sophia;Désir;Sophia;female;sophia-desir.39601;;01/01/1969;1969;;;;;;;Haiti;writer;;;Q18627792;0000 0001 3933 038X;107388714;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Sophia_D%C3%A9sir;#N/A;#N/A;3665;1;;;Edouard Willems
AU;Desquiron Lilas;Desquiron;Lilas;female;;desquiron;01/01/1945;1945;Port-au-Prince;Haiti;;;;;Haiti;"novelist;ethnologist";French;;Q12893500;0000 0000 5434 0239;59122885;;0;;#N/A;https://en.wikipedia.org/wiki/Lilas_Desquiron;0;https://ht.wikipedia.org/wiki/Lilas_Desquiron;1665;#N/A;804;1;;;Elbadawi Soeuf
AU;Desrivières Jean-Durosier;Desrivières;Jean-Durosier;male;jean-durosier-desrivieres.24258;desrivieres;;1972;;;;;;;;;;;Q55217155;;;1;0;0;#N/A;0;0;0;#N/A;#N/A;#N/A;1;;;Estepha Jean James
AU;Desroches Jenner;Desroches;Jenner;male;jenner-desroches.49447;;01/01/1939;1939;Cap-Haïtien;Haiti;;;;;Canada;"researcher;writer";;;Q12891968;0000 0000 7378 373X;29183556;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Jenner_Desroches;#N/A;#N/A;805;1;;;Étienne Gérard
AU;Desrosiers Joël;Desrosiers;Joël;male;joel-des-rosiers.15170;desrosiers;26/10/1951;1951;Les Cayes;Haiti;;;;;Canada;"poet;writer";French;;Q3187394;0000 0001 1035 5006;2622758;;0;;#N/A;0;https://fr.wikipedia.org/wiki/Jo%C3%ABl_Des_Rosiers;https://ht.wikipedia.org/wiki/Jo%C3%ABl_Des_Rosiers;#N/A;14932;2823;1;;;Eugène Emmanuel
AU;Desvignes Luckner;Desvignes;Luckner;male;luckner-desvignes.6659;;;;;;;;;;Haiti;writer;;;;;;0;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Exavier Marc
AU;Dieurat Clervoyant;Dieurat;Clervoyant;male;clervoyant-dieurat.46356;;;1965;;;;;;;"Haiti;France";"researcher;writer";;;;0000 0000 9707 1307 ;143494271;0;0;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Fanini-Lemoin Hervé
AU;Dominique Jan J.;Dominique;Jan J.;female;jan-j-dominique.14090;dominique;25/01/1953;1953;Port-au-Prince;Haiti;;;;;Haiti;"writer;journalist";French;;Q16946539;0000 0000 7362 5678;50649908;;0;;#N/A;0;https://fr.wikipedia.org/wiki/Jan_J._Dominique;https://ht.wikipedia.org/wiki/Jan_J._Dominique;#N/A;7197;791;1;;;Farah-Martine Lhérisson
AU;Dorsinville Max;Dorsinville;Max;male;max-dorsinville.32109;dorsinville_max;01/01/1943;1943;Port-au-Prince;Haiti;;;;;Haiti;writer;French;;Q18412231;0000 0001 0939 2889;118880958;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Max_Dorsinville;#N/A;#N/A;1415;1;;;Felin Guetty
AU;Capécia Mayotte;Capécia;Mayotte;female;mayotte-capecia.14069;capecia;17/02/1916;1916;Le Carbet;France;24/11/1955;1955;Paris;France;France;writer;French;;Q18421742;0000 0000 3647 1091;62421697;;1;;#N/A;0;0;https://ht.wikipedia.org/wiki/Mayotte_Cap%C3%A9cia;#N/A;#N/A;1063;0;;;Fenelon Fortestson
AU;Dorvil Richardson;Dorvil;Richardson;male;richardson-dorvil.45358;;;;;;;;;;Haiti;;;;;;;0;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Fièvre Jessica
AU;Dovilas Anderson;Dovilas;Anderson;male;anderson-dovilas.22813;dovilas;;1985;;;;;;;;;;;Q55217151;;;1;0;0;http://www.dovanderson.over-blog.com;0;0;0;#N/A;#N/A;#N/A;1;;;Fignolé Jean-Claude
AU;Duckens Charitable;Duckens;Charitable;male;duckens-charitable-duccha.22294;duccha;02/09/1982;1982;;;;;;;Haiti;writer;;;Q16946096;0000 0000 0509 2013;32325098;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Duccha;#N/A;#N/A;897;1;;;Fleurant Elie
AU;Vieux Chauvet Marie;Vieux Chauvet;Marie;female;;chauvet;16/09/1916;1916;Port-au-Prince;Haiti;19/06/1973;1973;New York City;United States of America;Haiti;"playwright;writer";French;;Q3292853;"0000 0003 6848 4104; 0000 0000 7994 9665";49367558;;1;;#N/A;https://en.wikipedia.org/wiki/Marie_Vieux_Chauvet;https://fr.wikipedia.org/wiki/Marie_Vieux-Chauvet;https://ht.wikipedia.org/wiki/Marie_Vieux-Chauvet;7036;5583;9522;0;;;Florival Jean
AU;Edouard Willems;Edouard;Willems;male;willems-edouard.49119;edouard;23/04/1965;1965;Pétion-Ville;Haiti;;;;;"Haiti;France";"poet;lawyer";;;Q55217158;0000 0000 3579 8260 ;270555161;;0;;#N/A;0;0;0;#N/A;#N/A;#N/A;1;;;Florvil Haveson
WIKI;Édouard Antonin Tardieu;Édouard Antonin;Tardieu;male;;;01/06/1913;1913;Haiti;Haiti;01/01/2001;2001;Port-au-Prince;Haiti;Haiti;"journalist;writer";French;;Q16259761;;;;1;;#N/A;0;https://fr.wikipedia.org/wiki/%C3%89douard_Antonin_Tardieu;0;#N/A;3809;#N/A;0;;;Fouad André
AU;Elbadawi Soeuf;Elbadawi;Soeuf;male;;soeuf-elbadawi;29/05/1970;1970;Moroni;Comoros;;;;;Comoros;"writer;actor;director;journalist";French;;Q3488805;0000 0001 2098 2193;212561;;0;;#N/A;0;https://fr.wikipedia.org/wiki/Soeuf_Elbadawi;https://ht.wikipedia.org/wiki/Soeuf_Elbadawi;#N/A;12493;1029;1;;;Foucard Guignard Mercedes
AU;Estepha Jean James;Estepha;Jean James;male;jean-james-estepha.45855;;;;;;;;;;Haiti;;;;;;;0;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;François Yanick
AU;Étienne Gérard;Étienne;Gérard;male;gerard-etienne.14094;etienne;;1936;;;;;;;Haiti;"journalist;poet;linguist";French;;Q289255;;;1;0;0;#N/A;https://en.wikipedia.org/wiki/%C3%89tienne_Maurice_G%C3%A9rard;https://fr.wikipedia.org/wiki/%C3%89tienne_Maurice_G%C3%A9rard;0;11562;36997;#N/A;1;;;Frankétienne Jean-Pierre Basilic Dantor
AU;Eugène Emmanuel;Eugène;Emmanuel;male;emmanuel-eugene.9072;ejen;02/07/1946;1946;Guantánamo;Cuba;;;;;Haiti;writer;Haitian Creole;;Q16946145;0000 0000 8009 0552;102436018;;0;;#N/A;0;https://fr.wikipedia.org/wiki/Emmanuel_Eug%C3%A8ne;https://ht.wikipedia.org/wiki/Emmanuel_Eug%C3%A8ne;#N/A;2914;1111;1;;;Franz Émilie
AU;Exavier Marc;Exavier;Marc;male;marc-exavier.32110;exavier;01/01/1950;1950;;;;;;;Haiti;writer;French;;Q18341492;0000 0000 3499 3849;14946444;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Marc_Exavier;#N/A;#N/A;804;1;;;Frisch Peter
AU;Fanini-Lemoin Hervé;Fanini-Lemoin;Hervé;male;herve-fanini-lemoin.39597;;;;;;;;;;Haiti;;;;;;;0;0;0;http://kiskeyapublishingsco.com/index.html;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Gabriel Winnie Hugot 
WIKI;Farah-Martine Lhérisson;Farah-Martine;Lhérisson;female;;lherisson_farah-martine;30/11/1970;1970;Port-au-Prince;Haiti;15/06/2020;2020;;;Haiti;writer;;;Q16946185;0000 0000 3475 8339;7561501;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Farah-Martine_Lh%C3%A9risson;#N/A;#N/A;1897;1;;;Gaillard-Vanté Geneviève
AU;Felin Guetty;Felin;Guetty;female;guetty-felin.17710;;;;Port-au-Prince;Haiti;;;;;"United States of America;Haiti";"director;producer;scriptwriter";;;;;173890375;0;0;0;http://bellemoonproductions.com/;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Garoute Jean-Claude
AU;Fenelon Fortestson;Fenelon;Fortestson;male;fortestson-fenelon-lokandya.22420;;02/02/1982;1982;Port-au-Prince;Haiti;;;;;Haiti;"writer;poet;journalist";;;;;101027892;;0;;http://paroleenarchipel.over-blog.com;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Gesner Jean-Gilles
AU;Fièvre Jessica;Fièvre;Jessica;female;jessica-fievre.14101;fievre;29/04/1981;1981;Port-au-Prince;Haiti;;;;;Haiti;"writer;novelist";;;Q12891979;0000 0003 7487 0220;223773416;;0;;#N/A;https://en.wikipedia.org/wiki/Jessica_Fi%C3%A8vre;0;https://ht.wikipedia.org/wiki/Jessica_Fi%C3%A8vre;3194;#N/A;1071;1;;;Gousse Edgard
AU;Fignolé Jean-Claude;Fignolé;Jean-Claude;male;jean-claude-fignole.4218;fignole;24/05/1941;1941;Jérémie;Haiti;11/07/2017;2017;Port-au-Prince;Haiti;Haiti;"writer;politician";French;;Q3164963;0000 0000 8132 4410;54164605;;0;;#N/A;https://en.wikipedia.org/wiki/Jean-Claude_Fignol%C3%A9;https://fr.wikipedia.org/wiki/Jean-Claude_Fignol%C3%A9;https://ht.wikipedia.org/wiki/Jean-Claude_Fignol%C3%A9;1208;4301;2785;1;;;Guérin Mona
AU;Fleurant Elie;Fleurant;Elie;male;elie-fleurant.49633;;;;Cap-Haïtien;Haiti;;;;;"United States of America;Haiti";"poet;writer";;;;0000 0000 3887 6711;56161776;0;0;0;http://www.elifleurant.com;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Heurtelou Maude
AU;Florival Jean;Florival;Jean;male;jean-florival.14368;;01/01/1930;1930;;;;;;;Haiti;journalist;French;;Q16946574;0000 0003 8247 1035;265511168;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Jean_Florival;#N/A;#N/A;789;1;;;Hilaire Johnie
AU;Florvil Haveson;Florvil;Haveson;male;haveson-florvil.29254;;31/05/1989;1989;Ouanaminthe;Haiti;;;;;Haiti;"entrepreneur;lecturer";;;Q96952677;;;;0;;http://www.florvilhaveson.fr.gd;0;https://fr.wikipedia.org/wiki/Haveson_Florvil;0;#N/A;10251;#N/A;1;;;Hill Lawrence
AU;Fouad André;Fouad;André;male;andre-fouad.39579;;;1972;;;;;;;;;;;;;88476157;1;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Hurbon Laënnec
AU;Foucard Guignard Mercedes;Foucard Guignard;Mercedes;female;;deita;21/09/1935;1935;Port-de-Paix;Haiti;29/12/2012;2012;Pétion-Ville;Haiti;Haiti;writer;;;Q12889446;0000 0000 3357 4423;45914128;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/D%C3%A9ita;#N/A;#N/A;3185;1;;;Hyppolite Joanne
AU;Roy Fombrun Odette;Roy Fombrun;Odette;female;;fombrun;13/06/1917;1917;Port-au-Prince;Haiti;;;;;Haiti;"children's writer;writer";French;;Q18528616;0000 0001 1591 126X;7411030;;1;;#N/A;https://en.wikipedia.org/wiki/Odette_Roy_Fombrun;0;https://ht.wikipedia.org/wiki/Odette_Roy_Fombrun;3812;#N/A;4983;0;;;Jacquet Jean Emmanuel
AU;François Yanick;François;Yanick;female;yanick-francois.39630;;;;;;;;;Port-au-prince;Haiti;;;;;;;0;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Jean Yanick
AU;Frankétienne Jean-Pierre Basilic Dantor;Frankétienne;Jean-Pierre Basilic Dantor;male;franketienne.4348;franketienne;12/04/1936;1936;Ravine-Sèche;Haiti;;;;;Haiti;"painter;poet;musician;singer;novelist;artist;writer;playwright;politician";French;;Q162778;"0000 0001 2099 3255; 0000 0003 6863 4926";15916887;;0;;http://www.franketienne.com;https://en.wikipedia.org/wiki/Frank%C3%A9tienne;https://fr.wikipedia.org/wiki/Frank%C3%A9tienne;https://ht.wikipedia.org/wiki/Frank%C3%A9tienne;4446;14012;3218;1;;;Jean Maguy D.
AU;Franz Émilie;Franz;Émilie;female;;franz;;1941;;;;;;;Haiti;writer;;;Q16946141;;;1;0;0;#N/A;0;0;https://ht.wikipedia.org/wiki/Emilie_Franz;#N/A;#N/A;741;1;;;Jeanty Constant
AU;Frisch Peter;Frisch;Peter;male;peter-frisch.49122;;;;;;;;;;;;;;;;;0;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Juste-Constant Voegeli
AU;Gabriel Winnie Hugot ;Gabriel;Winnie Hugot ;female;winnie-hugot-gabriel-duvil.44753;;;;;;;;;;;;;;;;;0;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Kauss Saint-John
AU;Gaillard-Vanté Geneviève;Gaillard-Vanté;Geneviève;female;genevieve-gaillard-vante.14110;gaillard-vante;;;Port-au-Prince;Haiti;;;;;Haiti;writer;;;Q12890976;0000 0000 4708 8952;61320682;0;0;0;#N/A;0;0;https://ht.wikipedia.org/wiki/Genevi%C3%A8ve_Gaillard-Vant%C3%A9;#N/A;#N/A;890;1;;;Kénol Henry
AU;Garoute Jean-Claude;Garoute;Jean-Claude;male;jean-claude-garoute-tiga.5773;;09/12/1935;1935;Jérémie;Haiti;01/12/2006;2006;Miami;United States of America;Haiti;"painter;sculptor;artist";French;;Q782156;0000 0001 1479 2086;103491485;;0;;#N/A;https://en.wikipedia.org/wiki/Jean-Claude_Garoute;https://fr.wikipedia.org/wiki/Jean-Claude_Garoute;https://ht.wikipedia.org/wiki/Jean-Claude_Garoute_(Tiga);4029;16933;1282;1;;;Kerns Fleurimond Wiener
AU;Gesner Jean-Gilles;Gesner;Jean-Gilles;male;gesner-jean-gilles.40585;;;;;;;;;;Haiti;;;;;;;0;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Klang Gary
AU;Gousse Edgard;Gousse;Edgard;male;edgard-gousse.40411;;;1950;;;;;;;Canada;;Canadian French;;Q55725389;0000 0000 7829 939X;72683298;0;0;1;http://edgardgousseecrivain.unblog.fr/;0;0;0;#N/A;#N/A;#N/A;1;;;Labuchin Rassoul
AU;Guérin Mona;Guérin;Mona;female;mona-guerin.14114;guerin;09/10/1934;1934;Port-au-Prince;Haiti;30/12/2011;2011;;;Haiti;"journalist;poet";French;;Q12894528;0000 0000 2426 5127;14789597;;0;;#N/A;https://en.wikipedia.org/wiki/Mona_Gu%C3%A9rin;0;https://ht.wikipedia.org/wiki/Mona_Gu%C3%A9rin;2977;#N/A;2810;1;;;Laferrière Dany
AU;Heurtelou Maude;Heurtelou;Maude;female;maude-heurtelou.49688;;;;;;;;;;Haiti;writer;;;Q20559271;;;0;0;0;#N/A;0;0;https://ht.wikipedia.org/wiki/Maude_Heurtelou;#N/A;#N/A;8981;1;;;Lafortune Fred Edson
AU;Hilaire Johnie;Hilaire;Johnie;male;johnie-hilaire.46291;;;;;;;;;;;;;;;;;0;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Laguerre Alex
AU;Hill Lawrence;Hill;Lawrence;male;lawrence-hill.31014;;24/01/1957;1957;Newmarket;Canada;;;;;Canada;"writer;novelist";Canadian English;;Q3828146;0000 0000 7367 3418;100308975;;0;;http://www.lawrencehill.com/;0;https://fr.wikipedia.org/wiki/Lawrence_Hill_(basket-ball);0;#N/A;3222;#N/A;1;;;Lahens Yanick
AU;Hurbon Laënnec;Hurbon;Laënnec;male;laennec-hurbon.5247;;21/06/1940;1940;Jacmel;Haiti;;;;;Haiti;writer;French;;Q16946779;0000 0000 7359 180X;24602927;;0;;#N/A;https://en.wikipedia.org/wiki/La%C3%ABnnec_Hurbon;0;https://ht.wikipedia.org/wiki/La%C3%ABnnec_Hurbon;4622;#N/A;1788;1;;;Laraque Paul
AU;Hyppolite Joanne;Hyppolite;Joanne;female;joanne-hyppolite.42230;;;;;;;;;;Haiti;"writer;curator";;;Q16946660;;;0;0;0;#N/A;0;0;https://ht.wikipedia.org/wiki/Joanne_Hyppolite;#N/A;#N/A;755;1;;;Large Josaphat-Robert
AU;Colimon Hall Marie-Thérèse;Colimon Hall;Marie-Thérèse;female;marie-therese-colimon-hall.14080;colimon-hall;11/04/1918;1918;Port-au-Prince;Haiti;01/01/1997;1997;;;Haiti;"writer;actor";French;;Q3132299;0000 0000 7974 8986;49223557;;1;;#N/A;https://en.wikipedia.org/wiki/Marie-Th%C3%A9r%C3%A8se_Colimon-Hall;https://fr.wikipedia.org/wiki/Marie-Th%C3%A9r%C3%A8se_Colimon_Hall;https://ht.wikipedia.org/wiki/Marie-Th%C3%A9r%C3%A8se_Colimon-Hall;2384;6194;1787;0;;;Laroche Maximilien
AU;Jacquet Jean Emmanuel;Jacquet;Jean Emmanuel;male;jean-emmanuel-jacquet.30929;jacquet;26/12/1981;1981;Port-au-Prince;Haiti;;;;;Haiti;"director general;writer;poet;novelist";;;Q96198910;;;;0;;#N/A;0;https://fr.wikipedia.org/wiki/Jean_Emmanuel_Jacquet;0;#N/A;5144;#N/A;1;;;Laroche Marc Léo
AU;Jean Yanick;Jean;Yanick;female;yanick-jean.14123;jean;01/01/1946;1946;Port-au-Prince;Haiti;01/01/2000;2000;;;Haiti;writer;;;Q3571564;0000 0000 7554 7028;106470707;;0;;#N/A;0;https://fr.wikipedia.org/wiki/Yanick_Jean;0;#N/A;5964;#N/A;1;;;Lauture Denizé
AU;Saint-Amand Édris;Saint-Amand;Édris;male;;saint-amand;26/03/1918;1918;Gonaïves;Haiti;01/01/2004;2004;Port-au-Prince;Haiti;Haiti;"writer;trade unionist;diplomat";French;;Q3048259;0000 0001 1669 851X;71908885;;1;;#N/A;https://en.wikipedia.org/wiki/Edris_Saint-Amand;https://fr.wikipedia.org/wiki/Edris_Saint-Amand;https://ht.wikipedia.org/wiki/Edris_Saint-Amand;1123;4911;831;0;;;Lavoie Aupont Coutechève
AU;Jean Maguy D.;Jean;Maguy D.;male;maguy-d-jean.40383;;;;;;;;;;;;;;;;;0;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Leconte Frantz-Antoine
AU;Jeanty Constant;Jeanty;Constant;male;constant-jeanty.42531;;;1936;;;;;;;;;;;;;317017661;1;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Legagneur Serge
AU;Juste-Constant Voegeli;Juste-Constant;Voegeli;male;voegeli-juste-constant.44231;;;1946;;;;;;;;;;;;;38528560;0;0;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Léger Dimitri Elias
AU;Kauss Saint-John;Kauss;Saint-John;male;saint-john-kauss.32111;kauss;;1958;;;;;;;;;;;Q55217152;;;1;0;0;#N/A;0;0;0;#N/A;#N/A;#N/A;1;;;Lemoine Lucien
AU;Kénol Henry;Kénol;Henry;male;henry-kenol.38446;;;;;;;;;;;;;;;;160819922;0;0;0;http://www.actes-sud.fr/node/44344;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Léonidas Jean-Robert
AU;Kerns Fleurimond Wiener;Kerns Fleurimond;Wiener;male;wiener-kerns-fleurimond.12584;;01/01/1958;1958;;;;;;;France;"journalist;writer";French;;Q12898302;0000 0001 0800 0839;49452017;;0;;http://www.haiti-tribune.com;0;0;https://ht.wikipedia.org/wiki/Wiener_Kerns_Fleurimond;#N/A;#N/A;5658;1;;;Lominy J.M.
AU;Klang Gary;Klang;Gary;male;gary-klang.7412;klang;28/12/1941;1941;Port-au-Prince;Haiti;;;;;Haiti;"school teacher;playwright;poet";French;;Q3098578;0000 0000 7362 8019;56734287;;0;;#N/A;https://en.wikipedia.org/wiki/Gary_Klang;https://fr.wikipedia.org/wiki/Gary_Klang;https://ht.wikipedia.org/wiki/Gary_Klang;7800;10270;6712;1;;;Lucas Rafaël
AU;Labuchin Rassoul;Labuchin;Rassoul;male;rassoul-labuchin.6422;labuchin;01/01/1974;1974;;;;;;;Haiti;"film actor;poet;novelist";;;Q12896004;;;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Rassoul_Labuchin;#N/A;#N/A;1293;1;;;Magloire Nadine
AU;Laferrière Dany;Laferrière;Dany;male;dany-laferriere.3366;laferriere;13/04/1953;1953;Port-au-Prince;Haiti;;;;;"Canada;Haiti";"writer;poet;novelist;screenwriter;journalist;film director";French;;Q1165217;0000 0001 2142 4759;87061403;;0;;#N/A;https://en.wikipedia.org/wiki/Dany_Laferri%C3%A8re;https://fr.wikipedia.org/wiki/Dany_Laferri%C3%A8re;https://ht.wikipedia.org/wiki/Dany_Laferri%C3%A8re;9653;42313;5774;1;;;Leslie Manigat
AU;Lafortune Fred Edson;Lafortune;Fred Edson;male;fred-edson-lafortune.32114;lafortune;31/07/1982;1982;Anse-à-Veau;Haiti;;;;;Haiti;poet;;;Q3086821;;;;0;;#N/A;0;https://fr.wikipedia.org/wiki/Fred_Edson_Lafortune;https://ht.wikipedia.org/wiki/Fred_Edson_Lafortune;#N/A;7082;3745;1;;;Manigat Jr. Angelucci
AU;Laguerre Alex;Laguerre;Alex;male;alex-laguerre.40412;;01/01/1967;1967;;;;;;;Haiti;writer;Haitian Creole;;Q12887205;0000 0000 5039 5160;4482572;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Alex_Laguerre;#N/A;#N/A;2306;1;;;Mars Kettly
AU;Lahens Yanick;Lahens;Yanick;female;yanick-lahens.4107;lahens;22/12/1953;1953;Port-au-Prince;Haiti;;;;;Haiti;"radio personality;writer;short story writer";French;;Q2599418;0000 0001 0889 1002;37986271;;0;;#N/A;https://en.wikipedia.org/wiki/Yanick_Lahens;https://fr.wikipedia.org/wiki/Yanick_Lahens;https://ht.wikipedia.org/wiki/Yanick_Lahens;5379;11442;3834;1;;;Martelly Stéphane
AU;Laraque Paul;Laraque;Paul;male;paul-laraque.14131;laraque;21/09/1920;1920;Jérémie;Haiti;08/03/2007;2007;New York City;United States of America;Haiti;poet;;;Q3371635;0000 0001 1025 175X;39379555;;0;;#N/A;0;https://fr.wikipedia.org/wiki/Paul_Laraque;https://ht.wikipedia.org/wiki/Paul_Laraque;#N/A;2267;808;1;;;Mathieu Marie-Soeurette
AU;Large Josaphat-Robert;Large;Josaphat-Robert;male;josaphat-robert-large.14132;large;15/11/1942;1942;Jérémie;Haiti;28/10/2017;2017;New York City;United States of America;Haiti;"poet;novelist;art critic;writer";French;;Q531431;0000 0000 7829 7669;103807753;;0;;http://www.josaphat-robert-large.com;https://en.wikipedia.org/wiki/Josaphat-Robert_Large;https://fr.wikipedia.org/wiki/Josaphat-Robert_Large;https://ht.wikipedia.org/wiki/Josaphat-Robert_Large;10673;10083;7217;1;;;Mathurin Rodolphe
AU;Laroche Marc Léo;Laroche;Marc Léo;male;marc-leo-laroche.14133;laroche;01/01/1940;1940;;;;;;;Haiti;"sociologist;writer";French;;Q18341665;0000 0000 7884 9523;86008488;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Marc_Laroche;#N/A;#N/A;1907;1;;;Maurouard Elvire
AU;Laroche Maximilien;Laroche;Maximilien;male;maximilien-laroche.14026;laroche_maximilien;05/04/1937;1937;Cap-Haïtien;Haiti;27/07/2017;2017;Quebec City;Canada;"Haiti;Canada";"writer;university teacher;literary scholar";French;;Q18926023;0000 0001 0857 9289;61548154;;0;;#N/A;0;https://fr.wikipedia.org/wiki/Maximilien_Laroche;https://ht.wikipedia.org/wiki/Maximilien_Laroche;#N/A;31447;11529;1;;;Merisier Emilio
AU;Lauture Denizé;Lauture;Denizé;male;denize-lauture.14134;lauture;11/05/1946;1946;;;;;;;Haiti;writer;;;Q12889499;0000 0000 5453 9790;7235847;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Denize_Lauture;#N/A;#N/A;1176;1;;;Métellus Jean
AU;Lavoie Aupont Coutechève;Lavoie Aupont;Coutechève;male;coutecheve-lavoie-aupont.32104;aupont;16/10/1982;1982;Mirebalais;Haiti;;;;;Haiti;"writer;poet";;;Q55217112;;;;0;;#N/A;0;https://fr.wikipedia.org/wiki/Coutech%C3%A8ve_Lavoie_Aupont;https://ht.wikipedia.org/wiki/Coutech%C3%A8ve_Lavoie_Aupont;#N/A;3693;1967;1;;;Michel Emeline
AU;Leconte Frantz-Antoine;Leconte;Frantz-Antoine;male;frantz-antoine-leconte.20387;;01/01/1948;1948;;;;;;;Haiti;writer;French;;Q16946241;0000 0000 8412 2312;115232564;;0;;#N/A;0;0;https://ht.wikipedia.org/wiki/Frantz_Leconte;#N/A;#N/A;1061;1;;;Michel G. Bertrand
AU;Legagneur Serge;Legagneur;Serge;male;serge-legagneur.14135;legagneur;10/01/1937;1937;Jérémie;Haiti;30/06/2017;2017;Montreal;Canada;Haiti;poet;French;;Q12897255;0000 0000 7363 3563;73978144;;0;;#N/A;0;https://fr.wikipedia.org/wiki/Serge_Legagneur;https://ht.wikipedia.org/wiki/Serge_Legagneur;#N/A;3901;1372;1;;;Milard Martine
AU;Léger Dimitri Elias;Léger;Dimitri Elias;male;dimitri-elias-leger.45391;;;;;;;;;;;;;;;;;0;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;;;Milcé Jean-Euphèle
AU;Lemoine Lucien;Lemoine;Lucien;male;lucien-lemoine.5737;lemoine;01/01/1923;1923;Haiti;Haiti;13/01/2010;2010;Dakar;Senegal;"Haiti;Senegal";poet;;;Q26252366;0000 0000 2825 2745;14838039;;0;;#N/A;0;0;0;#N/A;#N/A;#N/A;1;;;Moïse Lenelle
WIKI;Nemours Jean Baptiste;;;male;;;02/02/1918;1918;Port-au-Prince;Haiti;18/05/1985;1985;;;Haiti;"writer;musician;conductor";;;Q3709714;0000 0004 0651 2795;310661405;;1;;#N/A;https://en.wikipedia.org/wiki/Nemours_Jean-Baptiste;0;https://ht.wikipedia.org/wiki/Nemours_Jean_Baptiste;3230;#N/A;2119;0;;;Moïse Serge H.
